"";"Group.1";"taux_CHOM1564_POP1564";"P20_CHOM1564";"P20_POP1564";"euclidean_distance";"euclidean_distance_centroid";"VAL";"NBFLUX_C19_ACTOCC15P"
"1";"75101";7,76562101462596;1078,81402580052;11783,5172877841;30442,7557903601;30332,090686446;52778,16;61730,5754616773
"2";"75102";7,81515800622768;1152,96545048057;12567,0984948763;29585,5473389621;29421,8583295557;48311,01;61786,0081990932
"3";"75103";8,25337774064793;1477,99065081115;15936,2152479127;25490,9114358772;25495,8602554076;35218,38;30102,6150995259
"4";"75104";8,04355076705801;1226,78031046826;13324,5436840477;28826,728714407;28934,5303509766;46601,44;39340,7931765895
"5";"75105";8,00973164493223;1263,48656447711;13735,8749275215;28340,2050804806;28524,2010038221;45040,53;49891,7356888149
"6";"75106";7,98252187902794;1299,35504823398;14100,9391316674;27948,0550384111;28023,4925684591;41798,97;42690,1367665231
"7";"75107";7,71761520431617;1082,39894164578;11825,9687379412;29786,9105125259;29731,1764216243;55651,4;66080,3793258509
"8";"75108";7,4626030323672;836,077651280127;9197,83548850352;34131,8057780672;33781,7852617077;81650,37;172639,170234869
"9";"75109";7,64573378021838;946,81225902241;10382,2746220574;32543,8181190972;32242,4820497057;67649,54;115421,603660475
"10";"75110";7,74937717656102;1041,58810519952;11380,9191349235;31431,1863110866;31317,5719962422;56710,78;77617,0989554487
"11";"75111";7,81939802693151;1150,63639552572;12539,7244156455;29403,7376825899;29534,386092003;51630,79;75056,5484076187
"12";"75112";7,53138150472574;900,159213636266;9879,61938258025;33360,3256265052;34048,0557308799;76641,48;114606,055673096
"13";"75113";7,6072737677186;936,396759141998;10267,8839942789;32481,2749978012;32952,4462340582;71684,9;120982,327053071
"14";"75114";7,80278154599655;1122,60238971664;12257,013495883;29672,1186818822;30008,4313068478;55811,88;75938,7350166151
"15";"75115";7,46080238182521;836,38796317951;9197,22265936793;34649,3892005817;34655,3811059449;88268,05;171425,166670819
"16";"75116";7,70548214312384;1045,93049847404;11440,8132255396;30463,6185664221;29920,3373867722;64834,69;111224,487727276
"17";"75117";7,78402195830323;1026,09211127482;11218,7451371009;31400,2245415319;30705,898371537;63779,59;101377,911246907
"18";"75118";7,8597412011952;1109,72226562707;12086,1028023444;30725,3135799948;30231,0769376866;55696,39;83371,7082613836
"19";"75119";7,84383468625568;1065,23787717575;11622,7940727966;31137,8120624998;30929,9086044225;59772,32;85526,596747665
"20";"75120";7,98669138231989;1230,56872225256;13365,7812616703;28931,2591913316;28921,5897986823;50425,15;70533,7092123577
"21";"77001";8,71856817272523;560,838230633384;5573,98365050272;21666,8236067647;58179,3989127395;2886,48;175,225098247185
"22";"77002";8,02896931808066;366,770006487561;3577,49412832443;14915,6274806925;58960,0241901465;4292,32;257,11385199945
"23";"77003";8,40288868769688;95,2251538635968;919,274951309397;10920,289672695;68899,2717612912;764,75;55,13569529701
"24";"77004";7,08967103439928;814,239146212754;7941,01284941066;10752,6923438153;44760,8640728514;665,53;55,3069199850533
"25";"77005";8,18933180476776;2021,10393284742;19967,5162729877;16110,2781625285;27539,8686101702;4436,83;595,781529262824
"26";"77006";8,05256236169745;820,230250598452;9497,38002614215;14710,5218466814;53525,5538949185;3362,05;214,739232078715
"27";"77008";11,2088658173633;2276,20645099079;22107,3422937106;26371,8631036549;28596,631959045;141,71;25,9077493802544
"28";"77009";6,85726579410967;11,7105660338963;148,318321617801;2271,09972926868;78710,6885224721;94,5;9,79944480383112
"29";"77010";7,4695467332543;1373,9459744763;12583,4134485872;19625,9223440449;48246,181770665;1929,46;122,515737371766
"30";"77011";9,41657866965764;472,963925686346;3803,17701194693;6132,27679114133;72189,1502580129;223,8;43,7834797649327
"31";"77012";9,67759116251536;358,272736913096;2727,25663117332;5630,02538260466;78496,079630935;281,52;22,6040136234247
"32";"77013";9,06210930242552;1530,67844049362;15957,5211657131;19784,3347450991;50274,5468354097;1688,88;88,5441576104876
"33";"77014";7,83259531553812;1137,15767540108;12429,2785042111;28637,2701399293;46263,7839382249;16485,47;3603,94965716386
"34";"77016";8,53344738211419;419,495884999565;4101,84543347862;17324,5971993449;66788,9433490258;2465,14;484,346909226046
"35";"77018";7,99162018905317;1461,81046338946;15666,2832642404;23444,7681414209;31073,8183318785;19667,64;2089,09570612012
"36";"77019";8,84816133913573;648,737012785953;4793,36135567188;7660,2763955348;73548,9024604946;210,48;30,7288117061152
"37";"77020";8,33080880913626;292,114470653977;3365,22935003757;21229,076729193;62234,0089874463;1874,34;66,8350466516274
"38";"77022";7,69046782635157;472,142543122574;5265,51996527598;16994,7731766077;52837,3287140457;5771,45;378,654774952459
"39";"77024";7,60859217938142;36,3486296261995;455,708605668455;10400,9588718132;59062,5764971088;384,57;35,3127406342598
"40";"77025";10,0192638678398;98,7610870922228;933,910734428408;4813,47583092847;79862,023589706;371,07;95,1974073797087
"41";"77026";8,14744523577612;212,380689257908;1630,8533914705;7214,30705787238;79929,8135257269;584,75;37,0596463637646
"42";"77027";10,5019663604947;352,194478737374;2773,61974207019;12799,5944628574;79188,6366689606;394,55;129,72247981092
"43";"77030";8,73916487088395;162,597671386542;1671,02961796587;10287,2757195201;65295,039096834;953,41;56,0097643089588
"44";"77031";7,18734023003864;393,754907334081;5371,48132186529;19793,9116314284;47297,8543112272;1189,39;72,5146197976223
"45";"77032";9,73465743264542;1250,54702365948;11638,1136125224;24081,1530334055;52894,3604911233;2593,49;105,823899007948
"46";"77034";7,48037099472531;515,811009632651;5065,83267334271;12785,3323470815;50001,7938954944;1600,55;160,080789805316
"47";"77035";8,18393722046375;435,79748645077;6015,23269788178;16379,8302359252;68625,3947316444;416,13;32,6273885365509
"48";"77037";7,95784277444028;1138,34891842009;12334,3409074803;24949,9308786152;45909,199272297;7798,13;1478,70000436076
